Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ben Williamson","SEA",16,58,0,5,4,0,0.017241379,0.275862068,0.035087719,0.31707317,0.228070175,0.24137931,0.263157894,0.2242117400827079,,44.408327777633076,-0.042026150797028095,-3.711644708607092,0.5243900525383651,-0.13336970156480568,"Ben Williamson",33197,810938
"Michael Massey","KCR",16,61,2,4,3,0,0.032786885,0.13114754,0.13559322,0.204081632,0.20338983,0.229508196,0.33898305,0.24885404891655094,,50.92155611401916,-0.051315064483787864,-3.4585635808822266,0.11495568417012691,-0.1393801543535687,"Michael Massey",27684,686681
"Javier Sanoja","MIA",16,54,0,4,4,2,0.055555555,0.092592592,0.078431372,0.195652173,0.176470588,0.222222222,0.25490196,0.2146512336201138,,29.102554772972596,0.2631092704832554,-4.171305485340856,0.8134132323320955,-0.16608603405473374,"Javier Sanoja",28253,691594
"Luis Robert Jr.","CHW",16,59,1,5,4,4,0.06779661,0.254237288,0.072727273,0.23076923,0.181818181,0.237288135,0.254545454,0.22419679568985762,,37.59865452659298,0.520940225571394,-3.669205791098917,0.12951669783797115,-0.1667291873232769,"Luis Robert Jr.",20043,673357
"Tyler Stephenson","CIN",15,59,1,6,5,0,0.118644067,0.389830508,0.115384615,0.285714285,0.173076923,0.27118644,0.288461538,0.24967603745131656,,49.24435937301568,-0.3297670488245785,-3.79831969370899,0.2294472916983068,-0.17103009497034916,"Tyler Stephenson",17988,663886
"Marcus Semien","TEX",17,67,1,4,4,1,0.104477611,0.298507462,0.050847458,0.210526315,0.152542372,0.253731343,0.20338983,0.22042986706121645,,35.48834337980498,0.30884436052292585,-4.6103749968258585,0.7368639716878533,-0.17407851547134184,"Marcus Semien",12533,543760
"Santiago Espinal","CIN",18,74,0,4,4,2,0.067567567,0.121621621,0.043478261,0.25,0.217391304,0.27027027,0.260869565,0.24236873275524862,,44.22770923500647,0.014292978215962648,-4.766084236950167,0.6543824942782521,-0.17645379634914993,"Santiago Espinal",19997,669289
"Cedric Mullins","BAL",17,66,4,6,10,2,0.03030303,0.272727272,0.234375,0.142857142,0.15625,0.181818181,0.390625,0.2447014767112154,,55.01898401149723,-0.12409537332132459,-3.502847935451649,-0.42716008983552456,-0.1834154737485697,"Cedric Mullins",17929,656775
"Brooks Lee","MIN",16,69,2,6,8,0,0.028985507,0.217391304,0.121212121,0.26,0.227272727,0.246376811,0.348484848,0.2586494278216708,,62.84181583058944,-0.9979779222048819,-3.9159878524867895,-0.2228346634656191,-0.1949033944477573,"Brooks Lee",31595,686797
"Jackson Chourio","MIL",17,73,1,4,1,6,0.04109589,0.219178082,0.085714286,0.226415094,0.185714285,0.219178082,0.271428571,0.21856005224463057,,34.06581739762524,1.2343115294352174,-4.340695916975545,0.08374096639454365,-0.19503651904099267,"Jackson Chourio",28806,694192
"Michael Conforto","LAD",18,65,0,5,1,0,0.092307692,0.261538461,0.089285714,0.256410256,0.178571428,0.292307692,0.267857142,0.26331612146817723,,66.88997252605972,-0.43037039041519165,-2.9231556212488923,-1.0760670322924852,-0.19546167516288646,"Michael Conforto",16376,624424
"Logan O'Hoppe","LAA",15,55,2,3,10,0,0.036363636,0.309090909,0.117647059,0.303030303,0.235294117,0.272727272,0.352941176,0.2754723061214794,,72.18041826150792,-0.41820629267022014,-2.1595980222454543,-1.5898914393037558,-0.20238687320012455,"Logan O'Hoppe",24729,681351
"Nick Castellanos","PHI",17,73,1,9,9,1,0.01369863,0.150684931,0.1,0.322033898,0.285714285,0.301369863,0.385714285,0.2998896371828367,,89.68032936406017,-0.5571986497379839,-1.4297694221221233,-2.9837014079093933,-0.2113783085867016,"Nick Castellanos",11737,592206
"Christian Walker","HOU",18,77,1,6,10,0,0.064935064,0.233766233,0.114285714,0.25,0.2,0.259740259,0.314285714,0.25550630727371615,,61.503449569238164,-0.08829631825210527,-3.4619129755568014,-1.1417084094136953,-0.2159279966294511,"Christian Walker",13419,572233
"Eric Wagaman","MIA",17,66,0,4,4,0,0.075757575,0.227272727,0.1,0.304347826,0.233333333,0.287878787,0.333333333,0.2748555432666432,,70.4343413699555,-0.7864922620356083,-3.0466745063775673,-1.3502668822184205,-0.23357053707120362,"Eric Wagaman",23395,676572
"Keibert Ruiz","WSN",14,57,0,5,5,0,0.035087719,0.105263157,0.074074074,0.270833333,0.24074074,0.280701754,0.314814814,0.2662846289182964,,67.57559671165927,-0.8794120447710156,-3.020126852910491,-1.1011672969907522,-0.23554206423741247,"Keibert Ruiz",19610,660688
"Pete Alonso","NYM",17,74,2,6,9,0,0.054054054,0.337837837,0.15942029,0.302325581,0.217391304,0.256756756,0.376811594,0.2752241170084154,,76.90445438380796,-0.8341286648064852,-2.813703441476271,-1.8856859654188156,-0.2378141398558972,"Pete Alonso",19251,624413
"Andrew McCutchen","PIT",17,65,0,2,2,0,0.123076923,0.184615384,0.018867925,0.261904761,0.207547169,0.328125,0.226415094,0.26133224793842863,,61.1859754344529,-0.5027279634959996,-3.424955293641367,-1.191198157146573,-0.2598752879430335,"Andrew McCutchen",9847,457705
"Seiya Suzuki","CHC",17,77,3,8,15,0,0.051948051,0.272727272,0.2,0.204081632,0.185714285,0.22077922,0.385714285,0.25680708033697947,,63.27974516593414,-0.5380221335217357,-3.8130000572634346,-1.350570810958743,-0.276028628266893,"Seiya Suzuki",30116,673548
"Luis García Jr.","WSN",14,55,2,5,9,0,0.036363636,0.218181818,0.163265306,0.184210526,0.183673469,0.218181818,0.346938775,0.240705529126254,,50.014895490188295,-0.4016625424847007,-3.5859719442672717,-0.9626102359034121,-0.28698884877296105,"Luis Garcia Jr.",20391,671277
"Junior Caminero","TBR",15,61,2,2,7,2,0.032786885,0.180327868,0.105263158,0.173913043,0.175438596,0.196721311,0.280701754,0.20734011736072477,,30.32188510390747,0.18074672436341643,-4.656624528822692,-0.2538896664045751,-0.30298050633112095,"Junior Caminero",28163,691406
"Nathaniel Lowe","WSN",17,74,2,10,9,0,0.081081081,0.256756756,0.121212122,0.217391304,0.181818181,0.256756756,0.303030303,0.2524519393572936,,58.079104245348944,-0.8217640644870698,-4.414904890444889,-1.0559471417218447,-0.3183623877961656,"Nathaniel Lowe",19566,663993
"Ty France","MIN",15,60,0,4,6,1,0.016666666,0.183333333,0.017857143,0.244444444,0.196428571,0.25,0.214285714,0.21709105769793194,,33.805341816735975,-0.25451219733804464,-4.774709440977068,-0.3561661969870329,-0.3294265160617457,"Ty France",17982,664034
"Kameron Misner","TBR",16,53,1,6,2,3,0.037735849,0.509433962,0.05882353,0.217391304,0.117647058,0.150943396,0.176470588,0.14918414264355065,,-10.311191785240384,0.24508141772821546,-6.408854869822832,1.4600997688248754,-0.3344781795989161,"Kameron Misner",26374,670224
"Andrew Vaughn","CHW",18,68,2,2,7,0,0.014705882,0.220588235,0.164179105,0.24,0.208955223,0.220588235,0.373134328,0.2558196432450238,,59.69326479513026,-0.30000296607613564,-3.4193933341713008,-2.046680809929967,-0.336919572034308,"Andrew Vaughn",26197,683734
"Trevor Story","BOS",15,61,1,4,5,3,0.032786885,0.344262295,0.051724138,0.25,0.172413793,0.213114754,0.224137931,0.19979997150233533,,15.338596429871073,0.42318993667140603,-5.454389278771691,-0.12095943093299866,-0.37239573599635456,"Trevor Story",12564,596115
"Caleb Durbin","MIL",17,56,0,1,6,1,0.053571428,0.107142857,0.020833334,0.119047619,0.104166666,0.203703703,0.125,0.16814813569740014,,-0.543242799366057,0.2933935886248946,-6.2281872275369565,0.46647828072309494,-0.410234289109501,"Caleb Durbin",29646,702332
"Jose Altuve","HOU",17,70,0,4,0,1,0.071428571,0.157142857,0.046153846,0.222222222,0.184615384,0.242857142,0.23076923,0.21812246697289603,,35.38368346193458,-0.36269428295781836,-5.51051518844999,-0.8887980310246348,-0.4274826274625704,"Jose Altuve",5417,514888
"Alex Verdugo","ATL",17,70,0,8,3,1,0.057142857,0.128571428,0.046153846,0.232142857,0.2,0.257142857,0.246153846,0.2312702340739114,,41.95999287494345,-0.36258567962795496,-5.068428987665913,-1.3487936379387975,-0.4308402044423334,"Alex Verdugo",17027,657077
